url,status
http://alllji.ru/assets/images/1ffdbe7086.php,Error: HTTPConnectionPool(host='alllji.ru', port=80): Max retries exceeded with url: /assets/images/1ffdbe7086.php (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe308018b20>: Failed to establish a new connection: [Errno 61] Connection refused'))
http://xn--80againsjpajlp.xn--p1ai/assets/images/996fc08542.php,Success
https://new.ms-scat.ru/2d6f81989c.php,Error: HTTPSConnectionPool(host='new.ms-scat.ru', port=443): Max retries exceeded with url: /2d6f81989c.php (Caused by SSLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'new.ms-scat.ru'. (_ssl.c:1129)")))
https://krasnoyarsk.smsint.ru/assets/images/7043d71596.php,Failed (Status code: 404)
https://vladivostok.smsint.ru/assets/images/a12589d5de.php,Failed (Status code: 404)
https://yoshkar-ola.smsint.ru/assets/images/f6c4af7eb8.php,Failed (Status code: 404)
https://creativopainting.com/392d4f3e1a.php,Failed (Status code: 406)
https://saransk.smsint.ru/assets/images/b941ff6d38.php,Failed (Status code: 404)
http://ads-tehnika.ru/assets/images/837a9021dd.php,Failed (Status code: 404)
https://oryol.smsint.ru/assets/images/9bfd6f5b96.php,Failed (Status code: 404)
https://arkhangelsk.smsint.ru/assets/images/a6ac58d2f1.php,Failed (Status code: 404)
http://api.kulinariym.ru/assets/images/79b27566db.php,Success
http://api.kulinariym.ru/bitrix/templates/.default/ajax/images/79b27566db.php,Success
https://normet.pro/assets/images/077b032c12.php,Failed (Status code: 404)
https://festvstrecha.com/image/background-image-cropper/71a2941809.php,Failed (Status code: 403)
http://teste1.smcriacaodigital.com.br/assets/images/0518f883a6.php,Failed (Status code: 406)
https://samara.smsint.ru/assets/images/21f54ef83e.php,Failed (Status code: 404)
https://iplstall.com/wp-content/plugins/wp-automatic/8a5a25ed23.php,Success
https://map.investinbelarus.by/e1830beae1.php,Failed (Status code: 404)
http://www.foretdeluhan.be/3ba267971b.php,Failed (Status code: 404)
